Datetime,ogn_close,ogn_volume,btc_close,btc_volume,pct_change_hour,hour_movement,pct_change_daily,daily_movement,pct_change_weekly,weekly_movement,pct_change_monthly,monthly_movement
2025-01-02 21:00:00-03:00,0.122,0,96764.82,0,,stable,,stable,,stable,,stable
2025-01-02 22:00:00-03:00,0.122,37998,96892.86,0,0.0,stable,,stable,,stable,,stable
2025-01-02 23:00:00-03:00,0.123,67580,96938.01,0,0.8196721311475417,stable,,stable,,stable,,stable
2025-01-03 00:00:00-03:00,0.122,124314,96948.35,0,-0.8130081300813016,stable,-0.8130081300813016,stable,,stable,,stable
2025-01-03 01:00:00-03:00,0.121,0,96724.88,0,-0.8196721311475417,stable,-1.6260162601626031,stable,,stable,,stable
2025-01-03 02:00:00-03:00,0.121,67344,96672.33,0,0.0,stable,-1.6260162601626031,stable,,stable,,stable
2025-01-03 03:00:00-03:00,0.121,225210,96498.98,0,0.0,stable,-1.6260162601626031,stable,,stable,,stable
2025-01-03 04:00:00-03:00,0.12,108936,96270.57,154279936,-0.8264462809917362,stable,-2.4390243902439046,down,,stable,,stable
2025-01-03 05:00:00-03:00,0.121,0,96057.69,0,0.8333333333333341,stable,-1.6260162601626031,stable,,stable,,stable
2025-01-03 06:00:00-03:00,0.123,0,96527.8,0,1.6528925619834725,stable,0.0,stable,,stable,,stable
2025-01-03 07:00:00-03:00,0.123,0,96425.11,0,0.0,stable,0.0,stable,,stable,,stable
2025-01-03 08:00:00-03:00,0.125,0,96720.28,0,1.6260162601626031,stable,1.6260162601626031,stable,,stable,,stable
2025-01-03 09:00:00-03:00,0.125,303952,96602.8,0,0.0,stable,1.6260162601626031,stable,,stable,,stable
2025-01-03 10:00:00-03:00,0.126,341004,96469.64,0,0.8000000000000007,stable,2.4390243902439046,up,,stable,,stable
2025-01-03 11:00:00-03:00,0.126,0,96973.12,0,0.0,stable,2.4390243902439046,up,,stable,,stable
2025-01-03 12:00:00-03:00,0.127,181798,97528.33,0,0.7936507936507943,stable,3.2520325203252063,up,,stable,,stable
2025-01-03 13:00:00-03:00,0.128,0,97813.88,90247168,0.7874015748031503,stable,4.065040650406507,up,,stable,,stable
2025-01-03 14:00:00-03:00,0.128,0,97985.18,0,0.0,stable,4.065040650406507,up,,stable,,stable
2025-01-03 15:00:00-03:00,0.128,0,98460.97,0,0.0,stable,4.065040650406507,up,,stable,,stable
2025-01-03 16:00:00-03:00,0.128,0,98535.62,198766592,0.0,stable,4.065040650406507,up,,stable,,stable
2025-01-03 17:00:00-03:00,0.128,0,98351.06,24096768,0.0,stable,4.065040650406507,up,,stable,,stable
2025-01-03 18:00:00-03:00,0.128,65001,98252.52,172720128,0.0,stable,4.065040650406507,up,,stable,,stable
2025-01-03 19:00:00-03:00,0.128,0,98270.5,0,0.0,stable,4.065040650406507,up,,stable,,stable
2025-01-03 20:00:00-03:00,0.127,0,98101.7,0,-0.7812500000000007,stable,3.2520325203252063,up,,stable,,stable
2025-01-03 21:00:00-03:00,0.127,0,97915.7,596103168,0.0,stable,3.2520325203252063,up,,stable,,stable
2025-01-03 22:00:00-03:00,0.127,152109,98001.75,306081792,0.0,stable,3.2520325203252063,up,,stable,,stable
2025-01-03 23:00:00-03:00,0.128,208548,98221.45,0,0.7874015748031503,stable,4.065040650406507,up,,stable,,stable
2025-01-04 00:00:00-03:00,0.128,0,98197.26,0,0.0,stable,0.0,stable,,stable,,stable
2025-01-04 01:00:00-03:00,0.128,226251,97940.38,0,0.0,stable,0.0,stable,,stable,,stable
2025-01-04 02:00:00-03:00,0.129,110859,98099.11,0,0.7812500000000007,stable,0.7812500000000007,stable,,stable,,stable
2025-01-04 03:00:00-03:00,0.13,0,98086.85,0,0.7751937984496131,stable,1.5625000000000013,stable,,stable,,stable
2025-01-04 04:00:00-03:00,0.13,0,98209.87,0,0.0,stable,1.5625000000000013,stable,,stable,,stable
2025-01-04 05:00:00-03:00,0.128,101182,97913.05,0,-1.5384615384615397,stable,0.0,stable,,stable,,stable
2025-01-04 06:00:00-03:00,0.128,13614,97653.55,0,0.0,stable,0.0,stable,,stable,,stable
2025-01-04 07:00:00-03:00,0.128,0,97761.04,0,0.0,stable,0.0,stable,,stable,,stable
2025-01-04 08:00:00-03:00,0.128,0,97864.3,0,0.0,stable,0.0,stable,,stable,,stable
2025-01-04 09:00:00-03:00,0.13,14409,97855.61,0,1.5625000000000013,stable,1.5625000000000013,stable,,stable,,stable
2025-01-04 10:00:00-03:00,0.131,0,97961.48,0,0.7692307692307698,stable,2.343750000000002,up,,stable,,stable
2025-01-04 11:00:00-03:00,0.131,222951,98025.88,0,0.0,stable,2.343750000000002,up,,stable,,stable
2025-01-04 12:00:00-03:00,0.128,0,97659.48,0,-2.2900763358778646,down,0.0,stable,,stable,,stable
2025-01-04 13:00:00-03:00,0.129,0,97690.08,0,0.7812500000000007,stable,0.7812500000000007,stable,,stable,,stable
2025-01-04 14:00:00-03:00,0.129,0,98029.88,0,0.0,stable,0.7812500000000007,stable,,stable,,stable
